Parameter,0.1,0.2,0.3,0.4,0.5,Accuracy Range (pp)
theta_t (exclusion threshold),98.57%,98.04%,98.39%,98.39%,98.57%,0.54
beta (penalty factor),98.21%,97.50%,98.39%,96.25%,,2.14
